University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,12 M Gross Pay,9 M Gross Pay,3 M Gross Pay,Fees,Comments
Georgia Institute of Technology (Georgia Tech),"School of Biological Sciences (Biology, Bioinformatics, Quantitative Biosciences, Applied Physiology)","$22,250",0.96,2016-2017,1st,"$25,908",,,"$3,658","$25,908 stipend, tuition waiver, and $3,658 in mandatory fees per year (includes ALL fees and insurance). BIO, BINF, QBioS and AP in the School of Biological Sciences for PhD 1st year until graduation (typically 5 years)."
East Tennessee State University (ETSU),Environmental Health,"$4,000",0.20,2016-2017,2nd,,"$6,400",,"$2,400",Health insurance not included
University of Kentucky (UK),Mathematics,"$6,983",0.34,2016-2017,3rd,,"$16,375","$4,533","$13,925",Summer support in not guaranteed every year.
University of Kentucky (UK),Entomology,"$20,000",0.98,2016-2017,2nd,"$20,000",,,,
North Dakota State University (NDSU),ECS,"$16,133",0.84,2016-2017,2nd,"$16,800",,,$667,
,,"$14,700",,2016-2017,,,"$15,000",,$300,"My monthly rent is half of my monthly check, not counting utilities. I have to take out $8,000 in loans per year to survive. "
University of Michigan - Ann Arbor (UM),Aerospace Engineering,"$29,605",1.28,2016-2017,4th,"$29,605",,,,No additional free required for health care for grad student and all dependents.
University of Michigan - Ann Arbor (UM),Aerospace Engineering,"$2,467",0.11,2016-2017,4th,"$2,467",,,,No additional free required for health care for grad student and all dependents. 
University of Kentucky (UK),Education,"$11,000",0.54,2016-2017,3rd,,"$11,000",,,
University of Kentucky (UK),Mathematics ,"$16,250",0.80,2016-2017,1st,"$16,400",,,$150,
University of Kentucky (UK),Mathematics,"$17,690",0.87,2016-2017,3rd,,"$15,000","$3,200",$510,
University of Kentucky (UK),Nursing,"$24,700",1.21,2016-2017,4th,"$26,000",,,"$1,300",Health insurance and tuition covered.
University of Kentucky (UK),,"$1,109",0.05,2016-2017,4th,"$1,109",,,,
Temple University (TU),Electrical Engineering,"$20,839",0.86,2016-2017,4th,"$21,165",,,$326,RA pay to work on advisor's project not related to my thesis. Also receive health insurance via the Union which covers up to 500 dollars a month of the insurance.
Yale University (YU),Forestry,"$29,000",1.17,2016-2017,2nd,,"$29,000",,,
University of Kentucky (UK),Biochemistry,"$25,000",1.22,2016-2017,2nd,"$25,000",,,,"Salary is adequate to cover basic living expenses, but isn't really enough to save any money, and if a tragedy or unforeseen cost arises (as it does in life), you need a strong support system to help financially because the stipend doesn't cut it. "
University of Kentucky (UK),Animal and Food Sciences,"$18,000",0.88,2016-2017,3rd,"$18,000",,,,
Temple University (TU),Political Science,"$21,553",0.89,2015-2016,3rd,,"$17,292","$4,261",,
Temple University (TU),Political Science,"$24,000",1.00,2016-2017,4th,"$24,000",,,,
University of Oregon (UO),Earth Sciences,"$18,384",0.88,2016-2017,2nd,,"$18,567",,$183,
Pennsylvania State University (Penn State),Ecology,"$25,380",1.13,2016-2017,3rd,,"$19,035","$6,345",,
Pennsylvania State University (Penn State),Ecology,"$29,553",1.32,2016-2017,2nd,,"$22,140","$7,413",,Tuition and fees are covered by assistantship from department or advisor grant.
Louisiana State University - Baton Rouge,French Studies,"$22,000",1.01,2016-2017,,"$22,000",,,,
University of Nevada - Reno (UNR),molecular biology,"$35,400",1.68,2016-2017,1st,"$35,400",,,,
Rockefeller University,,"$38,000",1.28,2016-2017,5th,"$38,000",,,,
University of Texas - El Paso (UTEP),Chemistry,"$24,000",1.15,2016-2017,2nd,"$27,000",,,"$3,000",Health insurance provided. Tuition isn't paid. Paid over 11 months. 
Harvard University (HU),Neurobiology,"$36,720",1.28,2016-2017,3rd,"$36,720",,,,
,,"$29,000",,2016-2017,,"$29,000",,,,
,,"$27,000",,2016-2017,,"$27,000",,,,
University of Massachusetts - Boston (UMB),School of Global Inclusion and Social Development,"$16,888",0.59,2016-2017,1st,,"$16,888",,,
Kent State University (KSU),sociology,"$14,500",0.73,2015-2016,3rd,,"$14,500",,,
Scumbag college,sewage,$8,,2016-2017,1st,,$5,$3,,
Harvard University (HU),department of medical sciences,"$30,550",1.07,2016-2017,6th and up,"$30,600",,,$50,
Trinity College Dublin,Geography,"$20,000",,2016-2017,1st,"$20,000",,,,
Vanderbilt University,Civil Engineering,"$28,200",1.23,2016-2017,,"$28,200",,,,
University of Colorado - Boulder (UCB),English,"$1,500",0.06,2016-2017,5th,"$16,000",,,"$14,500",
University of Colorado - Boulder (UCB),English,"$1,500",0.06,2016-2017,2nd,"$16,000",,,"$14,500",
University of Colorado - Boulder (UCB),English,$500,0.02,2016-2017,2nd,"$12,000",,,"$11,500",
University of Colorado - Boulder (UCB),English,$500,0.02,2016-2017,1st,"$12,000",,,"$11,500",
University of Colorado - Boulder (UCB),English,"$-10,300",-0.40,2016-2017,1st,"$1,200",,,"$11,500",
University of Colorado - Boulder (UCB),English,"$-4,875",-0.19,2016-2017,1st,"$6,625",,,"$11,500",
University of Colorado - Boulder (UCB),English,"$-6,500",-0.25,2016-2017,1st,"$5,000",,,"$11,500",
University of Colorado - Boulder (UCB),English,"$-11,500",-0.45,2016-2017,1st,,,,"$11,500",
University of Colorado - Boulder (UCB),English,"$-9,220",-0.36,2016-2017,1st,"$2,280",,,"$11,500",
University of California - San Diego (UCSD),Bioinformatics,"$32,000",1.21,2016-2017,4th,"$32,000",,,,
University of Arizona (U of A),Chemistry,"$22,520",1.09,2016-2017,3rd,"$23,720",,,"$1,200",Very cheap. The salaries of school officials are much more than other top universities. And they rob you 500+ dollars for every single semester for all kinds of fees. Teaching loads are super heavy if you are in the chemistry department. Barely non health insurance coverage.
Harvard University (HU),SEAS,"$35,000",1.22,2016-2017,6th and up,"$35,000",,,,
Indiana University,Psychological and Brain Sciences,"$21,800",1.01,2016-2017,,"$24,000",,,"$2,200",
Polytechnic Institute of New York University,Civil and Urban Engineering ,"$33,000",1.11,2016-2017,,"$33,000",,,,
University of Central Florida (UCF),chemistry,"$16,500",0.71,2016-2017,,"$19,000",,,"$2,500",
Emory University,Business,"$30,200",1.30,2015-2016,3rd,"$30,500",,,$300,
Purdue University - West Lafayette,Management,"$19,300",0.91,2016-2017,1st,"$20,500",,,"$1,200",11 months
Rutgers the State University of New Jersey - New Brunswick,Sociology,"$22,882",0.89,2016-2017,1st,,"$25,000",,"$2,118","$1,059 in fees each semester.
TA pay different from 1st year fellowship pay."
University of Virginia (UVA),mechanical engineering,"$25,000",1.09,2016-2017,1st,"$25,000",,,,
Rutgers the State University of New Jersey - Newark,Center for Molecular and Behavioral Neuroscience,"$29,600",1.09,2016-2017,2nd,"$29,600",,,,
Georgia Institute of Technology (Georgia Tech),BMEd,"$25,500",1.09,2016-2017,,"$28,000",,,"$2,500",
Pennsylvania State University (Penn State),ARL Walker,"$27,000",1.20,2016-2017,2nd,"$27,000",,,,
University of Wisconsin - Madison (UW),history of art,"$18,000",0.79,2016-2017,1st,,"$18,000",,,
University of Texas - El Paso (UTEP),Business,"$10,000",0.48,2016-2017,1st,,"$19,000","$4,000","$13,000",
University of Colorado - Boulder (UCB),,"$25,000",0.98,2016-2017,4th,,"$25,000",,,
University of Utah,Bioscience PhD Programs,"$27,000",1.21,2016-2017,1st,"$27,000",,,,
Unniversity of Hawaii Manoa,English,"$16,500",,2016-2017,,"$19,000",,,"$2,500",
Rice University,Statistics,"$24,140",1.10,2016-2017,1st,"$25,000",,,$860,
Anna University,civil,"$84,000",,2015-2016,2nd,,"$67,000","$45,000","$28,000",
Illinois State University (ISU),Computer,"$-25,000",-1.11,2016-2017,1st,"$20,000",,,"$45,000",
University of Akron,Electrical and computer engineering,"$10,500",0.53,2016-2017,1st,"$14,000",,,"$3,500",
University of North Carolina - Chapel Hill (UNC),BBSP,"$27,200",1.22,2016-2017,1st,"$29,000",,,"$1,800",
University of Southern California (USC),Comparative Studies in Literature and Culture,"$29,825",1.15,2016-2017,6th and up,"$30,000",,,$175,$1000 out of the entire salary must be used on research-related expenses; other money is usually awarded (1-2k) throughout the year for research-related travel.
Arizona State University (ASU),Political Science,"$16,700",0.75,2016-2017,1st,,"$17,500",,$800,
,,"$16,225",,2016-2017,,"$16,225",,,,
University of Southern California (USC),Slavic,"$31,950",1.23,2016-2017,,,"$32,000",,$50,
University of Southern California (USC),NGP,"$33,000",1.28,2016-2017,1st,"$33,000",,,,
HHMI Janelia Research Campus,NA,"$47,500",,2016-2017,3rd,"$47,500",,,,
Purdue University - West Lafayette,Finance,"$19,967",0.94,2016-2017,2nd,"$20,667",,,$700,
Georgetown University,Economics,"$26,800",0.87,2016-2017,2nd,,"$27,000",,$200,
Drexel University (DU),College of Engineering,"$24,000",1.00,2016-2017,1st,,"$18,000","$6,000",,
Wayne State University,Marketing,"$22,340",1.07,2016-2017,4th,,"$18,000","$4,500",$160,
Rutgers the State University of New Jersey - New Brunswick,neuroscience,"$30,000",1.16,2016-2017,1st,"$30,000",,,,
University of Southern California (USC),Neuroscience,"$31,000",1.20,2016-2017,1st,"$31,000",,,,
University of Delaware (UD),,"$23,680",0.93,2016-2017,,"$24,000",,,$320,
University of Alabama (UA),Math,"$18,500",0.88,2016-2017,4th,"$19,000",,,$500,
University of Alabama (UA),Mathematics,"$17,000",0.81,2016-2017,1st,,"$17,000",,,
University of Alabama (UA),Mathematics,"$20,744",0.99,2016-2017,1st,"$20,964",,,$220,
University of Alabama (UA),Mathematics,"$18,000",0.86,2016-2017,5th,,"$18,000",,,
University of Alabama (UA),Mathematics,"$17,496",0.83,2016-2017,2nd,,"$17,496",,,Also receive a $6000 scholarship per year awarded $3000 at the beginning of the fall and spring semesters. 
University of Alabama (UA),Mathematics,"$20,374",0.97,2016-2017,1st,"$20,964",,,$590,"$17,964 for 9 months, $3000 for Summer"
Michigan Technological University (MTU),MECHANICAL,"$28,000",1.38,2016-2017,1st,"$28,000",,,,
California Institute of Technology (Caltech),natural science,"$31,200",1.32,2012-2013,3rd,"$31,200",,,,
University at Buffalo - SUNY,physics,"$16,126",0.77,2016-2017,2nd,,"$16,500","$1,600","$1,974","Additional fees for health care, dental, vision insurance. "
,,"$30,000",,2016-2017,,"$30,000",,,,
Kent State University (KSU),Computer Science,"$15,000",0.76,2016-2017,2nd,"$15,000",,,,
University of South Florida (UCF),Sociology,"$14,200",0.65,2016-2017,1st,,"$15,000",,$800,
University of Virginia (UVA),Religious Studies,"$24,000",1.05,2016-2017,1st,"$24,000",,,,
University of Massachusetts - Amherst (UMass),Mechanical Engineering,"$22,469",0.98,2016-2017,2nd,"$24,918",,,"$2,449",
Ohio State University (OSU),Materials science and engineering ,"$26,600",1.33,2016-2017,1st,"$26,600",,,,
University of Rochester (UR),political  science ,"$25,000",1.17,2016-2017,5th,"$25,000",,,,
Johns Hopkins University (JHU),International Health,,0.00,2016-2017,3rd,,,,,
Stanford University (SU),biotech,"$20,000",0.70,2016-2017,1st,"$20,000",,,,
University of Florida (UF),Soil and Water Science,"$19,600",0.86,2016-2017,3rd,"$20,000",,,$400,
University of Texas - Austin (UT),ICES,"$24,000",1.05,2016-2017,1st,"$24,000",,,,
Salisbury university ,Biology,"$11,600",,2016-2017,1st,,"$13,000",,"$1,400",
North Dakota State University (NDSU),English ,"$9,500",0.50,2016-2017,1st,,"$10,500",,"$1,000",
Oklahoma State University (OSU),biochemistry and molecular biology,"$16,000",0.82,2016-2017,1st,"$19,200",,,"$3,200",
Harvard University (HU),Biological and Biomedical Sciences,"$36,720",1.28,2016-2017,2nd,"$36,720",,,,
University of California - Los Angeles (UCLA),"Biochemistry, Molecular, and Structural Biology","$30,500",1.18,2016-2017,1st,"$30,500",,,,
Iowa State University (ISU),Business,"$26,000",1.22,2016-2017,1st,"$26,000",,,,Approximate value
Stevens Institute of Technology,Electrical,"$29,000",1.09,2016-2017,2nd,,"$24,750","$5,250","$1,000",
Cedars-Sinai Medical Center,Biomedical Sciences,"$46,000",,2016-2017,4th,"$46,000",,,,
Baylor College of Medicine,Immunology,"$28,750",1.32,2016-2017,1st,"$29,000",,,$250,
University of Chicago (UC),Sociology,"$25,872",1.07,2016-2017,2nd,"$27,000",,,"$1,128",
Case Western Reserve University,English,"$16,000",0.80,2016-2017,,"$16,000",,,,
Virginia Tech,Computer SCience,"$21,050",1.00,2016-2017,,"$23,340",,,"$2,290",
Boston University (BU),New England and American Studies Program,"$20,500",0.72,2016-2017,,,"$20,500",,,
University of South Dakota,Basic Biomedical Sciences,"$24,107",1.21,2016-2017,1st,"$28,084",,,"$3,977",
University of Michigan - Ann Arbor (UM),School of Information,"$18,000",0.78,2016-2017,1st,,"$18,000",,,
University of Central Florida (UCF),Education ,"$12,926",0.56,2016-2017,1st,"$15,000",,,"$2,074",
Drexel University (DU),Biology,"$21,000",0.87,2016-2017,1st,"$21,000",,,,
Harvard University (HU),English,"$32,960",1.15,2016-2017,,,"$27,600","$5,360",,
Texas A&amp;M; University - College Station,Marketing Business,"$35,000",,2016-2017,1st,"$35,000",,,,
Temple University (TU),Fox school of Business,"$30,050",1.25,2016-2017,1st,"$30,500",,,$450,Revised from $27500.
Texas Tech University (TTU),English,"$15,100",0.74,2016-2017,4th,"$16,000",,,$900,
West Virginia University (WVU),biology,"$25,000",1.12,2016-2017,1st,"$25,000",,,,
Clemson University (CU),Biological Sciences,"$17,920",0.86,2016-2017,2nd,,"$19,000",,"$1,080",
University of North Carolina - Chapel Hill (UNC),"Biology/ Ecology, Evolution and Organismal Biology","$17,537",0.79,2016-2017,2nd,,"$19,500",,"$1,963",
Middle Tennessee State University (MTSU),Economics PHD,"$13,300",0.58,2016-2017,1st,"$14,000",,,$700,
Florida Institute of Technology,chemical,"$20,000",0.95,2016-2017,,"$20,000",,,,
Drexel University (DU),Digital media,"$18,000",0.75,2016-2017,1st,,"$18,000",,,
Tufts University (TU),mechanical engineering,"$24,000",0.86,2016-2017,1st,"$24,000",,,,
Albany Medical College,Immunology and Microbiology,"$24,000",1.05,2016-2017,1st,"$24,000",,,,
University of Florida (UF),Statistics,"$23,500",1.03,2016-2017,2nd,"$25,000",,,"$1,500",
South Dakota State University (SDSU),Life Science,"$18,500",0.98,2016-2017,1st,"$18,500",,,,
Temple University (TU),Accounting,"$37,250",1.55,2016-2017,1st,"$38,000",,,$750,
Virginia Tech,TBMH,"$27,000",1.28,2016-2017,2nd,"$27,000",,,,
University of North Texas (UNT),Computer Science and Engineering,"$12,410",0.58,2016-2017,1st,,"$12,410",,,
University of Texas Health Science Center - San Antonio,Translational Science,"$24,000",1.16,2016-2017,3rd,"$26,000",,,"$2,000","Though San Antonio is a relatively cheap city in which to live, a $26000 annual stipend does not go very far, especially if you have a debt or debts from before starting graduate school. From my gross pay, I have to pay my own university tuition/fees and health/dental insurance. After taxes, this leaves very little money for living expenses."
University of California - Davis (UCD),NEUROSCIENCE,"$31,022",1.29,2016-2017,1st,,"$31,022",,,
University of California - Davis (UCD),Political Science,"$26,000",1.08,2016-2017,1st,"$26,000",,,,
Florida Atlantic University (FAU),Aademic Affairs,"$32,232",1.35,2016-2017,6th and up,"$32,232",,,,
Massachusetts Institute of Technology (MIT),aeroastro,"$-15,000",-0.54,2016-2017,1st,"$30,000",,,"$45,000",
Oregon Health and Science University,biomedcal engineering,"$28,000",1.20,2016-2017,1st,"$28,000",,,,
University of North Carolina - Chapel Hill (UNC),Cell Biology & Physiology,"$28,500",1.28,2016-2017,6th and up,"$30,400",,,"$1,900",
University of North Carolina - Chapel Hill (UNC),Neuroscience,"$29,000",1.30,2016-2017,1st,"$29,000",,,,
University of North Carolina - Chapel Hill (UNC),Pharmacology,"$29,000",1.30,2016-2017,6th and up,"$29,000",,,,"I entered ""$0"" in the required fees because our student fees are paid for by the school/our PI's grants.  However, UNC graduate students are charged $979.08 in student fees per semester (for fall and spring, at least).

In general, the UNC stipend for graduate students in the School of Medicine is very nice.  I was able to live by myself in a 2-bedroom apartment for two years before moving in with my boyfriend.  We live comfortably without needing extra jobs/money, and with good budgeting habits I am able to save money every month and still splurge occasionally."
