University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,12 M Gross Pay,9 M Gross Pay,3 M Gross Pay,Fees,Comments
Arizona State University (ASU),Developmental Psychology,"$6,800",0.31,2025-2026,1st,,"$2,600","$5,200","$1,000","Health insurance included, $1000 mandatory fees each year taken out of your first check each semester. Guaranteed funding for 5 years and summer funding through request"
University of Southern California (USC),Aerospace and Mechanical Engineering,"$44,290",1.71,2025-2026,1st,"$44,290",,,,
Arizona State University (ASU),Chemistry,"$35,392",1.59,2025-2026,1st,,"$26,544","$8,848",,
University of Nebraska - Lincoln (NU),Statistics,"$21,000",1.08,2025-2026,2nd,,"$24,000",,"$3,000",
University of South Dakota,Psychology,"$5,000",0.25,2025-2026,1st,,"$12,000",,"$7,000",
Harvard University (HU),Philosophy ,"$51,500",1.80,2025-2026,,"$51,500",,,,
Louisiana State University - Baton Rouge,psychology,"$23,000",1.06,2025-2026,2nd,,"$23,000",,,
Rochester Institute of Technology (RIT),Imaging science ,"$37,350",1.75,2025-2026,2nd,"$37,500",,,$150,"First year is $24,000 for 9 months, and extra ~$9000 for summer if you decide to work. Once you pass the qualifying exam at the end of second semester, the salary is hiked to $37,500/yr from second year onwards."
Arizona State University (ASU),School of social and behavioral sciences,"$29,000",1.31,2025-2026,2nd,,"$29,000",,,
The University of Texas at Arlington,History,"$19,467",,2025-2026,1st,,"$19,467",,,"Full Resident Fees & Tuition at approx. $10,928.00/yr
Total Yearly Award (based on enrollment of 9 hours per semester) at approx. $30,395/yr"
University of Texas - Austin (UT),Special Education,"$28,236",1.24,2025-2026,2nd,"$28,236",,,,If I stay employed through summer. Not everyone is.
Texas A&amp;M; University - College Station,Nuclear Engineering ,"$27,000",,2025-2026,1st,"$27,000",,,,
Princeton University,PACM,"$55,000",2.16,2025-2026,,"$55,000",,,,
Texas Christian University (TCU),Chemistry & Biochemistry,"$28,500",1.31,2025-2026,1st,"$28,500",,,,"Stipends are set to increase to $30,000 and beyond in the upcoming years"
University of Texas - Dallas (UTD),Physics,"$28,800",1.34,2025-2026,,"$28,800",,,,
North Dakota State University (NDSU),Physics,"$21,800",1.14,2025-2026,1st,,"$22,500",,$700,
New York University (NYU),Biomedical Engineering,"$45,600",1.53,2025-2026,1st,"$45,600",,,,
Texas A&amp;M; University - College Station,PBSI,"$2,120",,2025-2026,4th,,"$2,120",,,
University of Oklahoma (OU),Construction Science ,"$15,277",0.76,2025-2026,1st,,"$17,677",,"$2,400",
American University of Beirut,ECE,$200,,2025-2026,1st,"$1,200",,,"$1,000",
Louisiana State University - Baton Rouge,Information Systems,"$33,667",1.55,2025-2026,1st,"$33,667",,,,
Texas State University ,Civil Engineering ,"$36,000",,2025-2026,1st,"$36,000",,,,
Auburn University (AU),Finance,"$35,000",1.62,2025-2026,,"$35,000",,,,
University of California - Berkeley,MCB,"$52,200",1.88,2025-2026,6th and up,"$52,200",,,,
University of Cincinnati (UC),Biomedical Informatics ,"$40,000",2.07,2025-2026,5th,"$40,000",,,,
University of Pennsylvania,Earth and Environmental Sciences,"$43,050",1.79,2025-2026,3rd,"$43,050",,,,
Baylor University (BU),Educational Leadership,"$30,000",1.51,2025-2026,2nd,"$30,000",,,,
Baylor College of Medicine,Graduate School of Biomedical Sciences,"$39,787",1.82,2025-2026,1st,"$40,000",,,$213,Plus student health insurance.
CUNY Graduate School and University Center,Computer Science,"$35,000",1.18,2023-2024,3rd,,"$35,000",,,
Texas A&amp;M; University - College Station,political science,"$23,500",,2025-2026,1st,,"$23,500",,,You can reach faculty about whether they have RA chances to receive funding during summer. 
University of Kentucky (UK),History,"$19,602",0.96,2025-2026,2nd,,"$19,602",,,
Rutgers the State University of New Jersey - New Brunswick,geography,"$37,000",1.43,2025-2026,2nd,"$37,000",,,,
University of Arizona (U of A),ECE,"$25,240",1.22,2025-2026,1st,,"$25,500",,$260,9 mo income.
Virginia Tech,Computer Science,"$21,500",1.02,2022-2023,3rd,,"$23,000",,"$1,500",
,,"$12,808",,2025-2026,2nd,"$12,808",,,,
Binghamton University - SUNY,Mathematics and Statistics,"$24,000",1.16,2025-2026,1st,,"$24,000",,,
